Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_747,747,100,0,0,0,0,0,12.375,284.625,297.000,493.228,747,612.564,1012.786,0,39.871,71.100,21.198,39.220,8.009,215.736,251.192,181.336,215.119,14.297
Track_751,751,108,0,0,0,0,0,13.375,286.500,299.875,473.225,751,238.334,733.918,0,35.516,69.657,0.182,37.018,10.852,210.837,297.725,130.453,213.616,29.340
Track_755,755,29,0,0,0,0,0,3.500,287,290.500,122.058,755,65.768,667.563,0,34.906,60.472,22.013,33.868,9.037,151.975,212.771,113.908,147.402,24.804
Track_756,756,104,0,0,0,0,0,12.875,287,299.875,136.819,756,113.830,721.742,0,10.846,43.758,0.032,0.457,15.406,175.344,250.776,148.529,175.972,25.669
Track_758,758,21,6,19,0,0,0,10.375,286,296.375,0.362,758,487.833,870.042,0,0.268,1.535,0.004,0.184,0.395,180.109,181.248,178.687,180.312,0.747
Track_762,762,94,2,3,0,0,0,12.250,287.625,299.875,359.377,762,1039.921,788.073,0,30.048,48.528,19.552,29.502,5.590,166.805,204.786,113.765,166.811,17.984
Track_763,763,92,3,2,0,0,0,11.875,288,299.875,415.889,763,282.060,791.929,0,35.722,116.569,15.665,34.515,12.892,138.190,213.075,110.495,135.178,18.432
Track_768,768,16,0,0,0,0,0,1.875,289.875,291.750,7.605,768,1281.593,1020.030,0,4.413,15.509,0.247,2.264,4.796,138.876,156.375,119.233,140.432,11.154
Track_770,770,39,0,0,0,0,0,4.750,290.625,295.375,193.148,770,101.733,661.032,0,40.824,93.478,5.200,40.688,12.123,213.324,246.220,125.863,216.162,21.301
Track_771,771,37,1,2,0,0,0,4.750,291,295.750,148.618,771,211.986,668.629,0,31.496,41.949,25.491,31.053,4.367,144.562,184.403,110.235,146.787,18.366
Track_776,776,60,0,0,0,0,0,7.375,292.500,299.875,187.074,776,719.847,858.108,0,25.689,47.892,2.842,26.164,9.994,215.808,310.487,143.081,218.104,28.442
Track_779,779,15,0,0,0,0,0,1.750,292.500,294.250,72.701,779,38.885,788.769,0,41.573,57.687,29.610,42.099,7.470,252.750,298.555,211.915,256.753,26.242
Track_781,781,54,2,2,0,0,0,7.000,292.875,299.875,187.280,781,111.654,946.615,0,26.374,36.961,19.398,26.134,3.649,182.463,262.769,139.172,179.765,27.657
Track_784,784,40,2,1,0,0,0,5.125,294.750,299.875,193.151,784,191.848,791.246,0,37.581,49.332,27.868,36.582,4.928,246.397,359.422,192.224,228.768,42.170
Track_785,785,48,0,0,0,0,0,5.875,294,299.875,235.550,785,292.552,886.585,0,40.234,70.586,24.033,38.244,11.519,214.792,321.193,135.617,210.565,43.117
Track_788,788,36,0,0,0,0,0,4.375,295.500,299.875,119.998,788,1148.947,713.726,0,27.450,36.795,20.673,27.116,3.769,216.229,270.494,125.364,228.468,37.996
Track_789,789,14,1,1,0,0,0,1.750,295.500,297.250,52.799,789,1297.427,855.301,0,30.477,41.669,18.778,28.398,7.210,186.594,235.858,144.290,189.016,26.708
Track_790,790,34,0,0,0,0,0,4.125,295.750,299.875,206.646,790,112.963,398.861,0,50.185,74.733,41.408,47.828,7.257,211.169,235.657,136.334,213.171,21.857
Track_791,791,32,2,1,0,0,0,4.125,295.750,299.875,139.678,791,276.627,661.516,0,33.684,41.281,23.416,33.687,5.500,226.059,282.146,133.445,224.841,30.845
Track_795,795,19,0,0,0,0,0,2.250,297.625,299.875,65.163,795,906.755,1017.201,0,28.989,42.645,21.826,27.413,5.374,226.272,326.768,199.561,214.793,33.441
