Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_140,140,593,0,0,0,0,0,74.000,104.125,178.125,1330.634,140,683.706,681.587,0,18.131,54.674,0.836,18.458,6.793,312.179,448.589,159.218,321.854,49.977
Track_144,144,554,0,0,0,0,0,69.125,106.250,175.375,1330.551,144,699.746,649.730,0,19.279,47.022,0.000,19.290,7.076,342.649,565.153,188.226,341.684,54.982
Track_145,145,559,0,0,0,0,0,69.750,106.750,176.500,1330.554,145,706.812,343.671,0,19.099,58.568,0.000,18.414,8.558,280.204,523.451,160.879,283.992,43.346
Track_147,147,606,0,0,0,0,0,75.625,107.250,182.875,1331.864,147,708.108,528.532,0,17.818,104.000,0.000,17.889,7.795,321.361,532.985,206.830,325.755,39.747
Track_150,150,63,4,6,0,0,0,10.500,108.875,119.375,195.551,150,506.669,925.777,0,17.467,29.123,9.011,17.413,5.313,203.646,239.447,153.767,208.381,23.649
Track_151,151,526,0,0,0,0,0,65.625,109.125,174.750,1330.550,151,716.187,924.857,0,20.292,50.467,0.000,20.296,7.554,593.760,857.128,372.654,596.833,37.170
Track_152,152,15,0,0,0,0,0,1.750,109.250,111.000,18.708,152,80.555,667.785,0,10.701,13.767,8.730,10.485,1.315,173.034,185.363,154.487,174.756,10.294
Track_155,155,670,0,0,0,0,0,83.625,111.500,195.125,1330.627,155,700.360,555.073,0,15.940,51.977,0.000,16.253,5.812,368.268,730.749,239.464,371.174,38.569
Track_156,156,31,0,0,0,0,0,3.750,111.250,115.000,61.362,156,540.384,448.179,0,16.372,22.620,10.785,17.228,3.469,179.705,210.204,151.676,179.511,16.368
Track_157,157,188,12,5,0,0,0,28.250,111.375,139.625,556.272,157,279.509,735.597,0,19.496,54.094,5.200,19.799,5.583,211.796,412.368,150.105,215.457,35.425
Track_158,158,408,1,5,0,0,0,51.500,111.875,163.375,982.081,158,530.686,483.431,0,19.209,58.011,1.082,19.288,6.806,241.533,495.641,153.419,246.285,38.084
Track_159,159,27,1,6,0,0,0,4.000,112.125,116.125,68.650,159,152.057,664.618,0,17.193,23.908,12.791,16.838,3.516,199.816,235.193,152.165,201.948,25.425
Track_160,160,546,0,0,0,0,0,68.125,112.125,180.250,1330.551,160,697.632,586.791,0,19.557,59.657,0.000,19.269,6.828,224.168,444.752,159.705,222.630,27.039
Track_172,172,525,0,0,0,0,0,65.500,119.625,185.125,1330.550,172,695.763,412.678,0,20.337,44.128,0.000,20.202,7.005,404.348,662.719,206.646,405.870,40.266
Track_174,174,96,7,6,0,0,0,16.000,121.125,137.125,340.179,174,798.938,924.570,0,20.453,31.312,9.755,20.274,4.576,218.883,269.745,152.006,222.739,30.684
Track_175,175,15,0,0,0,0,0,1.750,122.875,124.625,32.590,175,686.972,448.266,0,18.678,24.407,13.857,18.827,3.343,204.171,254.243,158.072,210.900,31.978
Track_177,177,54,1,4,0,0,0,7.125,123.500,130.625,153.117,177,80.202,828.361,0,21.324,58.947,0.000,22.519,7.161,185.365,383.060,151.647,171.636,39.224
Track_178,178,590,0,0,0,0,0,73.625,123.625,197.250,1330.550,178,725.696,471.272,0,18.101,68.485,0.000,19.328,8.500,371.661,509.058,170.092,372.395,38.630
Track_192,192,563,0,0,0,0,0,70.250,132.625,202.875,1330.566,192,674.708,586.710,0,18.983,60.244,0.000,18.854,6.692,383.342,591.630,218.831,385.449,49.938
Track_194,194,554,0,0,0,0,0,69.125,133,202.125,1330.581,194,666.368,452.666,0,19.272,46.619,0.000,18.746,6.466,388.699,681.224,177.957,397.597,76.640
Track_198,198,16,0,0,0,0,0,1.875,134.875,136.750,29.590,198,878.131,447.024,0,15.797,17.740,13.777,15.609,1.287,162.805,169.207,154.964,163.524,4.025
Track_200,200,539,0,0,0,0,0,67.250,136.125,203.375,1330.556,200,668.811,483.413,0,19.929,52.274,0.328,19.851,7.786,612.278,853.989,297.775,626.453,88.511
Track_204,204,15,0,0,0,0,0,1.750,137.875,139.625,13.198,204,912.901,447.080,0,7.551,9.593,5.353,7.923,1.297,179.397,200.745,150.589,179.378,16.255
Track_206,206,172,4,7,0,0,0,23.375,138.250,161.625,349.414,206,1156.712,925.204,0,15.077,31.091,0.000,14.086,6.261,228.140,494.194,152.555,229.656,46.595
Track_207,207,553,0,0,0,0,0,69.000,139.750,208.750,1330.550,207,664.179,739.967,0,19.330,46.978,0.000,18.556,6.875,421.184,602.890,190.697,444.911,82.736
Track_208,208,49,3,5,0,0,0,7.625,141.500,149.125,147.184,208,646.914,735.444,0,18.600,28.179,10.691,18.614,4.559,210.701,262.326,152.115,215.127,28.340
Track_212,212,20,1,4,0,0,0,2.875,142.750,145.625,63.039,212,366.155,827.134,0,21.234,29.089,12.966,22.292,4.615,163.243,175.581,150.362,163.773,6.870
Track_213,213,24,1,4,0,0,0,3.375,142.875,146.250,78.459,213,279.352,664.322,0,22.539,29.279,19.163,22.123,2.404,190.259,217.329,150.923,196.869,18.716
Track_217,217,814,0,0,0,0,0,101.625,145.625,247.250,1330.551,217,657.253,283.263,0,13.106,54.495,0.000,12.940,4.469,287.092,507.678,180.176,282.167,24.677
Track_218,218,684,2,2,0,0,0,85.750,147,232.750,1330.577,218,679.420,307.205,0,15.599,48.812,0.000,15.713,5.921,375.592,613.031,153.416,397.654,81.749
Track_220,220,17,1,1,0,0,0,2.125,147.625,149.750,23.728,220,360.467,663.933,0,11.434,14.101,7.312,12.164,2.201,171.653,192.873,150.071,173.405,14.079
Track_226,226,509,0,0,0,0,0,63.500,151.500,215.000,1330.556,226,665.631,677.776,0,21.012,61.293,0.000,20.185,7.441,781.100,915.395,401.386,784.024,30.518
Track_227,227,803,0,0,0,0,0,100.250,151.625,251.875,1330.577,227,748.591,896.684,0,13.428,47.226,0.003,14.748,9.288,250.581,354.990,157.963,245.060,25.749
Track_230,230,601,0,0,0,0,0,75.000,154,229.000,1330.634,230,669.583,915.057,0,17.776,52.144,0.000,17.810,5.954,361.837,687.508,260.253,357.726,35.636
Track_231,231,26,0,0,0,0,0,3.125,154.750,157.875,14.785,231,443.820,669.662,0,4.780,8.873,2.083,4.548,1.806,163.676,174.425,150.291,164.341,5.673
Track_232,232,609,0,0,0,0,0,76.000,155.375,231.375,1330.551,232,661.906,799.969,0,17.542,36.956,0.000,17.661,5.861,299.449,446.593,196.648,299.339,26.255
Track_233,233,59,2,7,0,0,0,9.000,156,165.000,107.861,233,876.770,734.653,0,11.845,20.555,2.421,11.313,3.940,210.547,247.004,150.066,214.320,27.544
Track_235,235,214,3,6,0,0,0,27.750,158.250,186.000,657.365,235,321.901,364.374,0,23.955,49.511,5.200,24.125,7.229,200.480,297.831,150.290,200.955,27.091
Track_238,238,20,0,0,0,0,0,2.375,161,163.375,9.268,238,1296.241,395.969,0,5.079,12.476,0.490,4.308,3.488,178.071,188.033,156.077,182.400,9.975
Track_241,241,90,4,7,0,0,0,13.250,164.625,177.875,173.216,241,609.908,668.519,0,13.126,30.019,5.865,12.006,4.866,191.532,283.441,150.578,190.190,24.629
Track_242,242,143,1,1,0,0,0,17.875,164.875,182.750,333.749,242,1167.291,481.564,0,18.646,49.865,0.000,18.263,6.047,218.182,399.359,150.417,218.624,36.388
Track_243,243,26,2,2,0,0,0,3.500,164.875,168.375,40.799,243,1215.052,450.820,0,11.550,18.843,4.615,11.189,4.505,158.440,169.035,150.887,157.100,5.430
Track_244,244,443,0,0,0,0,0,55.250,165.750,221.000,1330.558,244,738.306,790.383,0,24.124,57.071,0.000,23.915,8.280,786.224,879.771,230.096,788.135,41.758
Track_246,246,158,9,7,0,0,0,23.625,166.375,190.000,390.373,246,1139.897,733.058,0,16.417,28.772,0.000,16.388,4.181,221.237,359.199,150.051,228.598,37.766
Track_247,247,490,0,0,0,0,0,61.125,168,229.125,1321.068,247,699.295,679.374,0,22.121,116.812,0.000,22.117,8.415,803.992,940.528,159.720,818.257,59.232
Track_248,248,213,0,0,0,0,0,26.500,170,196.500,412.535,248,209.140,295.567,0,15.582,28.953,0.000,15.688,3.924,251.953,375.465,169.228,249.980,20.394
Track_249,249,91,4,6,0,0,0,12.625,170.750,183.375,233.336,249,116.157,514.214,0,18.471,55.178,0.000,18.098,7.018,224.609,490.240,150.166,229.395,48.983
Track_251,251,613,0,0,0,0,0,76.500,171.250,247.750,1330.551,251,668.392,565.386,0,17.432,53.414,1.924,17.578,5.250,242.927,346.306,189.047,242.896,25.140
